Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"712 Jennifer St,","Brentwood, CA 94513","$918,962",4,3,"3,008","Garage, Garage - Attached",Single Family,0.34 Acres,2016,Neighborhood: 94513,327 days,581,4
"38 Tradition Way,","Brentwood, CA 94513","$587,077",3,2.5,"1,987","Garage, Garage - Attached",Single Family,"4,879 sqft",2000,Neighborhood: 94513,422 days,710,1
"1231 Comice Pkwy,","Brentwood, CA 94513","$642,971",3,2.5,"2,344","Garage, Garage - Attached",Single Family,"6,500 sqft",1999,Neighborhood: 94513,323 days,309,1
"801 De Fremery Dr,","Brentwood, CA 94513","$637,644",3,2,"1,924","Garage, Garage - Detached",Single Family,0.48 Acres,1951,Neighborhood: 94513,340 days,"1,025",13
"2425 Boulder St,","Brentwood, CA 94513","$805,756",5,4,"3,589","Garage, Garage - Attached",Single Family,"8,700 sqft",2005,Neighborhood: 94513,414 days,400,4
"1605 Celestine St,","Brentwood, CA 94513","$839,604",4,3.5,"3,811","Garage, Garage - Attached",Single Family,"8,276 sqft",2006,Neighborhood: 94513,319 days,827,20
"1180 Bacchini Ln,","Brentwood, CA 94513","$529,442",2,2,"1,409",$155/mo,Single Family,"5,889 sqft",2003,Neighborhood: 94513,180 days,"1,299",24
"316 Macarthur Way,","Brentwood, CA 94513","$545,895",3,2.5,"1,846",$98/mo,Single Family,"3,059 sqft",2014,Neighborhood: 94513,457 days,438,5
"523 W 6th St,","Antioch, CA 94509","$865,000",9,4,"2,952","2,953 sqft",Single Family,$293,1987,Neighborhood: 94509,150 days,710,10
"612 W 16th St,","Antioch, CA 94509","$699,950",5,3,"2,866","10,001 sqft",Single Family,$244,2015,Neighborhood: 94509,134 days,197,6
"2001 Johnson Dr,","Antioch, CA 94509","$475,000",3,2,"1,419","5,248 sqft",Single Family,$335,1990,Neighborhood: 94509,59 days,"3,396",55
"1210 Sycamore Dr APT 3,","Antioch, CA 94509","$200,000",2,1,903,$402/mo,Condo,$221,1969,Neighborhood: 94509,100 days,983,27
"2411 Lindberg St,","Antioch, CA 94509","$297,000",1,1,562,"3,497 sqft",Single Family,$528,1935,Neighborhood: 94509,58 days,"2,118",58
"3153 Westbourne Dr,","Antioch, CA 94509","$518,888",3,3,"1,863","7,350 sqft",Single Family,$279,1977,Neighborhood: 94509,988 days,"3,801",64
"3404 Hemingway Dr,","Antioch, CA 94509","$569,888",4,2,"1,901","6,629 sqft",Single Family,$300,1978,Neighborhood: 94509,85 days,"2,206",72
"3301 Buchanan Rd #99,","Antioch, CA 94509","$159,000",3,2,"1,092","Carport, Covered",Mobile / Manufactured,$146,No Data,Neighborhood: 94509,66 days,"2,550",97
"2105 Gold Poppy St,","Brentwood, CA 94513","$872,173",5,3,"3,424","Garage, Garage - Attached, Covered",Single Family,0.32 Acres,2005,Neighborhood: 94513,348 days,771,7
"601 Gracie Ln,","Brentwood, CA 94513","$280,908",--,--,--,0 spaces,Single Family,1.32 Acres,No Data,Neighborhood: 94513,289 days,"1,041",20
"1039 Dawn Ct,","Brentwood, CA 94513","$659,968",3,3,"2,342","Garage, Garage - Attached",Single Family,"9,440 sqft",1999,Neighborhood: 94513,243 days,507,3
"591 Flowering Plum Pl,","Brentwood, CA 94513","$657,997",4,2,"2,168","Garage, Garage - Attached",Single Family,"7,500 sqft",2002,Neighborhood: 94513,285 days,542,2
"601 Gracie Ln,","Brentwood, CA 94513","$239,292",--,--,--,0 spaces,Single Family,1.13 Acres,No Data,Neighborhood: 94513,289 days,"1,152",18
"679 Hamilton Ct,","Brentwood, CA 94513","$695,740",3,2.5,"2,108","Garage, Garage - Attached",Single Family,"6,675 sqft",2017,Neighborhood: 94513,397 days,337,4
"34 Rockwell St,","Brentwood, CA 94513","$572,686",4,3,"2,175",$92/mo,Single Family,"4,295 sqft",2001,Neighborhood: 94513,459 days,986,6
"1318 Prominent Dr,","Brentwood, CA 94513","$671,129",3,2.5,"2,372",$40/mo,Single Family,"8,712 sqft",2004,Neighborhood: 94513,290 days,"1,868",28
"73 Ibis St,","Brentwood, CA 94513","$449,635",3,3,"1,239",$150/mo,Single Family,"1,960 sqft",2005,Neighborhood: 94513,339 days,648,3
"433 Amberleaf Way,","Brentwood, CA 94513","$694,431",6,4,"2,786","Garage, Garage - Attached",Single Family,"6,534 sqft",1992,Neighborhood: 94513,403 days,"1,386",29
"265 Mesquite Ct,","Brentwood, CA 94513","$481,699",3,2,"1,168","Garage, Garage - Attached",Single Family,"9,600 sqft",1987,Neighborhood: 94513,458 days,878,5
"430 Iron Club Dr,","Brentwood, CA 94513","$799,000",5,3,"3,235","8,276 sqft",Single Family,$247,2001,Neighborhood: 94513,92 days,"6,026",216
"2027 Huntington Way,","Brentwood, CA 94513","$1,099,000",6,5,"4,907",0.32 Acres,Single Family,$224,2013,Neighborhood: 94513,92 days,"3,368",114
"2024 Great Meadow Ln,","Brentwood, CA 94513","$749,000",4,3,"3,133","8,714 sqft",Single Family,$239,2004,Neighborhood: 94513,89 days,"3,783",100
"Buildable plan: Ellensburg, Terrene,","Brentwood, CA 94513",from ,3,3,"2,788",No Data,Single Family,$251,2020,Neighborhood: 94513,,,
"3150 Bixler Rd,","Brentwood, CA 94513","$850,000",3,2,"1,896","Garage, Garage - Attached, Covered",Other,$448,1975,Neighborhood: 94513,4 days,323,9
"2600 Walnut Blvd,","Brentwood, CA 94513","$5,000,000",9 Acres,,9 Acres,0 spaces,Vacant Land,"$4,139",1935,Neighborhood: 94513,1388 days,426,3
"3740 Walnut Blvd,","Brentwood, CA 94513","$1,200,000",2.16 Acres,,2.16 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,523 days,156,0
"100 Harris Ranch Rd LOT B,","Brentwood, CA 94513","$1,530,000",34.511 Acres,,34.511 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,94 days,171,0
"0 Brentwood Blvd,","Brentwood, CA 94513","$787,500",1.58 Acres,,1.58 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,523 days,63,0
"0 Oak St,","Brentwood, CA 94513","$949,000",2.194 Acres,,2.194 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,523 days,128,1
"3041 Walnut Blvd,","Brentwood, CA 94513","$1,180,000",4,--,"2,400",2.82 Acres,Single Family,$492,1918,Neighborhood: 94513,841 days,563,4
"170 Sunrise Dr,","Brentwood, CA 94513","$1,099,000",0.38 Acres,,0.38 Acres,0 spaces,Vacant Land,"$1,728",1876,Neighborhood: 94513,106 days,147,3
"1020 Woodside Dr,","Brentwood, CA 94513","$485,000",0.273 Acres,,0.273 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,66 days,413,5
"8365 Brentwood Blvd,","Brentwood, CA 94513","$495,000",0.554 Acres,,0.554 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,523 days,272,3
"100 Harris Ranch Rd LOT C,","Brentwood, CA 94513","$819,000",21.069 Acres,,21.069 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,94 days,244,4
"1541 Spumante Ln,","Brentwood, CA 94513","$584,885",2,2,"1,730",No Data,Townhouse,$338,No Data,Neighborhood: 94513,,,
"1558 Spumante Ln,","Brentwood, CA 94513","$606,345",2,2,"1,678",No Data,Townhouse,$361,No Data,Neighborhood: 94513,,,
"540 Sand Creek Rd,","Brentwood, CA 94513","$400,000",4.88 Acres,,4.88 Acres,0 spaces,Vacant Land,$283,1956,Neighborhood: 94513,523 days,712,13
"Sunset Rd,","Brentwood, CA 94513","$378,000","8,180 Square Feet",,"8,180 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,55 days,592,11
"1558 Spumante Ln LOT 16,","Brentwood, CA 94513","$606,344",2,2,"1,678","4,038 sqft",Single Family,$361,2020,Neighborhood: 94513,40 days,455,6
"2685 Claudia Ln,","Brentwood, CA 94513","$688,550",3,3,"2,376",No Data,Single Family,$290,2020,Neighborhood: 94513,,,
"1640 Lone Oak Rd,","Brentwood, CA 94513","$1,179,000",5,--,"1,898",3.70 Acres,Single Family,$621,1973,Neighborhood: 94513,414 days,"1,383",24
"1703 Saint Emilion Ln,","Brentwood, CA 94513","$1,129,000",2,3,"2,751","8,537 sqft",Single Family,$410,2013,Neighborhood: 94513,52 days,606,7
"Bixler Rd,","Brentwood, CA 94513","$425,000",4.67 Acres,,4.67 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94513,200 days,688,10
"1654 Gamay Ln,","Brentwood, CA 94513","$748,500",2,2,"2,042","5,810 sqft",Single Family,$367,2006,Neighborhood: 94513,220 days,446,9
"1152 Saint Julien St,","Brentwood, CA 94513","$1,050,000",2,3,"2,846","7,605 sqft",Single Family,$369,2010,Neighborhood: 94513,171 days,556,11
"931 Island Palm Way,","Brentwood, CA 94513","$880,000",4,3,"3,196",No Data,Single Family,$275,2018,Neighborhood: 94513,75 days,"1,184",16
"2096 Rioja Way,","Brentwood, CA 94513","$750,000",2,2,"2,054","5,915 sqft",Single Family,$365,2017,Neighborhood: 94513,62 days,571,5
"474 Hotchkiss St,","Brentwood, CA 94513","$2,400,000",8,7,"5,300",10.08 Acres,Single Family,$453,2000,Neighborhood: 94513,46 days,"3,140",79
"1619 Frascati Way,","Brentwood, CA 94513","$969,900",2,3,"2,280","5,684 sqft",Single Family,$425,2014,Neighborhood: 94513,65 days,685,8
"1230 Delta Rd,","Brentwood, CA 94513","$1,195,000",3,2,"2,472",10.51 Acres,Single Family,$483,2000,Neighborhood: 94513,84 days,"1,642",27
"1679 Gamay Ln,","Brentwood, CA 94513","$689,000",2,2,"1,737","4,726 sqft",Single Family,$397,2012,Neighborhood: 94513,72 days,810,24
"56 Payne Ave,","Brentwood, CA 94513","$1,795,000",3,4,"3,521",4.37 Acres,Single Family,$510,1910,Neighborhood: 94513,71 days,"1,848",46
"1926 Barbaresco Ln,","Brentwood, CA 94513","$724,900",2,2,"1,912","5,445 sqft",Single Family,$379,2016,Neighborhood: 94513,303 days,669,9
"27 Spruce St,","Brentwood, CA 94513","$499,000",4,2,"1,680","8,999 sqft",Single Family,$297,1947,Neighborhood: 94513,169 days,"2,472",14
"1905 Gemina Way,","Brentwood, CA 94513","$705,865",3,3,"2,376",No Data,Single Family,$297,2020,Neighborhood: 94513,,,
"2403 Diablo Ave,","Antioch, CA 94509","$413,868",3,1,"1,044","Garage, Garage - Attached",Single Family,"5,499 sqft",1953,Neighborhood: 94509,310 days,243,3
"1200 Mission Dr,","Antioch, CA 94509","$466,396",3,2,"1,298","Garage, Garage - Attached, Covered",Single Family,"9,380 sqft",1968,Neighborhood: 94509,449 days,220,1
"31 Selena Ct,","Antioch, CA 94509","$394,116",2,2.5,"1,282",$385/mo,Single Family,"1,280 sqft",1980,Neighborhood: 94509,289 days,576,4
"2733 Del Oro Cir,","Antioch, CA 94509","$462,198",3,2,"1,302","Garage, Garage - Attached, Covered",Single Family,"9,347 sqft",1967,Neighborhood: 94509,297 days,"1,145",23
"3 S Lake Pl,","Antioch, CA 94509","$538,090",4,2.5,"2,016",$100/mo,Single Family,"7,840 sqft",1976,Neighborhood: 94509,304 days,440,4
"1503 Sandy Way,","Antioch, CA 94509","$476,095",4,2,"1,560","Garage, Garage - Attached, Covered",Single Family,"7,910 sqft",1968,Neighborhood: 94509,152 days,401,3
"3732 Heritage Dr,","Antioch, CA 94509","$510,582",4,2,"1,794","Garage, Garage - Attached",Single Family,"9,520 sqft",1976,Neighborhood: 94509,389 days,263,2
"2100 Reseda Way,","Antioch, CA 94509","$611,065",5,3,"2,449","Garage, Garage - Attached, Covered",Single Family,"9,400 sqft",1977,Neighborhood: 94509,429 days,537,9
"824 W 11th St,","Antioch, CA 94509","$413,960",3,2,"1,425",Garage,Single Family,"6,098 sqft",1947,Neighborhood: 94509,344 days,--,--
"3312 Blythe Dr,","Antioch, CA 94509","$477,192",3,2,"1,488","Garage, Garage - Attached, Covered",Single Family,"6,000 sqft",1978,Neighborhood: 94509,219 days,342,6
"22 Service Rd,","Antioch, CA 94509","$257,010",3,1.5,"1,056","Garage, Garage - Attached",Single Family,"5,005 sqft",1942,Neighborhood: 94509,382 days,"1,326",24
"4048 Rockford Dr,","Antioch, CA 94509","$498,890",3,3,"2,022","Garage, Garage - Attached",Single Family,0.29 Acres,1986,Neighborhood: 94509,282 days,550,7
"3428 Barmouth Dr,","Antioch, CA 94509","$506,109",3,2,"1,643","Garage, Garage - Attached",Single Family,"7,000 sqft",1984,Neighborhood: 94509,351 days,179,2
"3592 Markley Creek Dr,","Antioch, CA 94509","$556,495",3,2,"2,145","Garage, Garage - Attached",Single Family,0.28 Acres,2011,Neighborhood: 94509,323 days,494,4
"3517 Dameron Pl,","Antioch, CA 94509","$401,343",3,2,"1,349",$280/mo,Townhouse,"1,306 sqft",1984,Neighborhood: 94509,305 days,792,7
"604 Iglesia Ct,","Antioch, CA 94509","$600,241",4,3,"2,507","Garage, Garage - Attached, Covered",Single Family,"9,656 sqft",1978,Neighborhood: 94509,465 days,406,2
"1813 Parsons Ln,","Antioch, CA 94509","$638,916",4,2.5,"3,356","Garage, Garage - Attached",Single Family,0.33 Acres,1986,Neighborhood: 94509,264 days,245,4
"4051 Moller Ranch Ct,","Antioch, CA 94509","$614,168",4,3,"3,033","Garage, Garage - Attached, Covered",Single Family,"7,840 sqft",2005,Neighborhood: 94509,283 days,451,6
"413 E 14th St,","Antioch, CA 94509","$435,748",3,2,"1,222","Garage, Garage - Attached, Covered",Single Family,"6,098 sqft",1956,Neighborhood: 94509,282 days,423,4
"1702 Yellowstone Dr,","Antioch, CA 94509","$541,346",4,3,"2,128","Garage, Garage - Attached",Single Family,"7,000 sqft",1981,Neighborhood: 94509,388 days,348,4
"232 William Reed Dr,","Antioch, CA 94509","$369,018",3,1,"1,527",0 spaces,Single Family,"5,000 sqft",1949,Neighborhood: 94509,331 days,431,4
"1029 W 10th St,","Antioch, CA 94509","$490,000",0.567 Acres,,0.567 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94509,523 days,145,3
"Fairview Dr,","Antioch, CA 94509","$999,950",1.75 Acres,,1.75 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94509,66 days,199,0
,"Antioch, CA 94509","$600,000",4,2,"1,346","9,408 sqft",Single Family,$446,1949,Neighborhood: 94509,64 days,344,3
"610 G St,","Antioch, CA 94509","$780,000",--,--,"3,786",0 spaces,Multiple Occupancy,$206,1925,Neighborhood: 94509,63 days,587,5
"321 Nash Ave,","Antioch, CA 94509",: ,3,2,"1,013",Garage,Single Family,"5,227 sqft",1904,Neighborhood: 94509,319 days,728,6
"333 Batacao Ln,","Antioch, CA 94509","$348,000",2,1,970,"5,998 sqft",Single Family,$359,1940,Neighborhood: 94509,59 days,816,9
"909 H St,","Antioch, CA 94509","$465,000",--,2,"2,020","5,000 sqft",Single Family,$230,1948,Neighborhood: 94509,108 days,442,2
"2712 Capistrano St,","Antioch, CA 94509","$480,000",3,2,"1,656","5,349 sqft",Single Family,$290,1948,Neighborhood: 94509,123 days,663,10
"809 W 2nd St,","Antioch, CA 94509","$699,988",3,3,"2,773","7,000 sqft",Single Family,$252,1906,Neighborhood: 94509,167 days,638,4
"912 Minaker Dr,","Antioch, CA 94509","$635,000",4,4,"2,232","5,227 sqft",Townhouse,$284,1970,Neighborhood: 94509,150 days,382,5
"2428 Imperial Ct,","Discovery Bay, CA 94505","$623,284",3,2,"1,564","Garage, Garage - Attached",Single Family,"8,058 sqft",1997,Neighborhood: 94505,296 days,497,0
"2115 Cypress Point,","Discovery Bay, CA 94505","$1,189,334",5,3,"3,723",$135/mo,Single Family,"6,960 sqft",1989,Neighborhood: 94505,296 days,276,1
"417 Lakehead Ct,","Discovery Bay, CA 94505","$843,798",5,4.5,"4,248","Garage, Garage - Attached",Other,$173/mo,2017,Neighborhood: 94505,145 days,315,1
"5330 Willow Lake Ct,","Discovery Bay, CA 94505","$629,764",2,2,"1,692",$135/mo,Single Family,"8,432 sqft",1978,Neighborhood: 94505,288 days,643,5
"324 Coronado Ct,","Discovery Bay, CA 94505","$606,266",4,3,"2,205","Garage, Garage - Attached, Covered",Single Family,"8,100 sqft",2001,Neighborhood: 94505,327 days,423,5
"123 Tennyson Ct,","Discovery Bay, CA 94505","$667,552",4,3,"2,577","Garage, Garage - Attached, Covered",Single Family,"4,852 sqft",2006,Neighborhood: 94505,152 days,801,10
"316 Brighton Ct,","Discovery Bay, CA 94505","$818,694",6,4,"3,559","Garage, Garage - Attached",Single Family,"10,375 sqft",2002,Neighborhood: 94505,226 days,444,10
"2308 Wayfarer Dr,","Discovery Bay, CA 94505",: ,3,3,"2,762",$135/mo,Single Family,"8,276 sqft",1991,Neighborhood: 94505,276 days,536,5
"4300 Monterey Ct,","Discovery Bay, CA 94505","$400,000","8,759 Square Feet",,"8,759 Square Feet",No Data,Vacant Land,Covered,No Data,Neighborhood: 94505,388 days,644,11
"86 Edgeview Ct,","Discovery Bay, CA 94505","$349,000","9,099 Square Feet",,"9,099 Square Feet",0 spaces,Vacant Land,$135/mo,No Data,Neighborhood: 94505,301 days,460,2
"708 Thayer Ln #204-B06,","San Mateo, CA 94404","$1,257,880",3,2,"1,492",No Data,Townhouse,$843,2020,Neighborhood: Famous Ships,,,
"1 Baldwin Ave APT 219,","San Mateo, CA 94401","$300,000",1,1,"1,000","$4,381/mo",Condo,$300,1988,Neighborhood: Central Business District,417 days,"1,641",9
"111 Saint Matthews Ave APT 203,","San Mateo, CA 94401","$1,249,000",2,2,"1,355",$592/mo,Condo,$922,2000,Neighborhood: Central Business District,170 days,507,1
"555 Laurel Ave APT 502,","San Mateo, CA 94401","$1,365,000",2,2,"1,786","$1,123/mo",Condo,$764,1980,Neighborhood: Central Business District,285 days,398,2
"49 Tidal Way,","San Mateo, CA 94401","$1,278,000",2,3,"1,308",509 sqft,Townhouse,$977,2018,Neighborhood: North Shoreview,148 days,537,12
"117 N Delaware St,","San Mateo, CA 94401","$2,000,000",--,--,"3,405","Garage, Garage - Attached, Covered",Multiple Occupancy,$587,1987,Neighborhood: Central,142 days,354,1
"119 E Poplar Ave,","San Mateo, CA 94401","$1,898,000",5,3,"1,940","Garage, Garage - Attached, Off-street, Covered",Multiple Occupancy,$978,1922,Neighborhood: San Mateo Heights,96 days,774,11
"1 Baldwin Ave APT 912,","San Mateo, CA 94401","$419,000",1,1,"1,000","$4,381/mo",Condo,$419,1988,Neighborhood: Central Business District,117 days,905,4
"238 State St,","San Mateo, CA 94401","$1,499,000",3,2,"1,634","Garage, Garage - Attached",Condo,$917,2017,Neighborhood: San Mateo Heights,127 days,900,14
"1443 Powell St,","San Francisco, CA 94133","$3,995,000",--,--,"10,875",0 spaces,Multiple Occupancy,$367,1911,Neighborhood: Russian Hill,193 days,259,3
"912 Jackson Street,","San Francisco, CA 94133","$2,375,000",--,--,"4,400",0 spaces,Multiple Occupancy,$540,1917,Neighborhood: Nob Hill,193 days,250,2
"51-73 Card Aly,","San Francisco, CA 94133","$2,700,000",--,--,"5,391",0 spaces,Multiple Occupancy,$501,1905,Neighborhood: North Beach,200 days,205,1
"757 Lombard St,","San Francisco, CA 94133","$1,680,000",--,--,"2,429",0 spaces,Multiple Occupancy,$692,1912,Neighborhood: Russian Hill,264 days,581,5
"1731 Powell St #401,","San Francisco, CA 94133","$2,350,000",2,2,"1,325",$833/mo,Condo,"$1,774",2018,Neighborhood: Russian Hill,222 days,270,8
"127 Topaz Way,","San Francisco, CA 94131","$8,000,000",-- sqft,,-- sqft,$600/mo,Vacant Land,"$3,908",1978,Neighborhood: Diamond Heights,1052 days,759,3
"256 Bemis St,","San Francisco, CA 94131","$695,000","2,099 Square Feet",,"2,099 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Glen Park,388 days,683,9
"323 29th St #C101,","San Francisco, CA 94131","$499,500",2,1,610,$515/mo,Condo,$819,1922,Neighborhood: Noe Valley,423 days,"3,358",15
"5160 Diamond Heights Blvd APT 302C,","San Francisco, CA 94131","$740,000",1,1,744,$600/mo,Condo,$995,1972,Neighborhood: Diamond Heights,292 days,942,19
"1532 Revere Ave,","San Francisco, CA 94124","$637,726",3,2,"1,525",0 spaces,Single Family,"2,495 sqft",1917,Neighborhood: Bayview,114 days,"1,553",31
"1947B Palou Ave,","San Francisco, CA 94124","$548,000","2,495 Square Feet",,"2,495 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Silver Terrace,88 days,208,5
"1947A Palou Ave,","San Francisco, CA 94124","$548,000","2,495 Square Feet",,"2,495 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Silver Terrace,88 days,192,2
"2845 Ingalls St,","San Francisco, CA 94124","$1,449,000",--,--,--,No Data,Multiple Occupancy,0 spaces,1910,Neighborhood: Bret Harte,91 days,215,2
"1501 Revere Ave,","San Francisco, CA 94124","$2,950,000",--,--,"7,200","Garage - Detached, Covered",Multiple Occupancy,$410,1931,Neighborhood: Bayview,261 days,164,2
"1882 Quesada Ave,","San Francisco, CA 94124","$1,000,000","2,500 Square Feet",,"2,500 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Silver Terrace,181 days,256,0
"1311 Quesada Ave,","San Francisco, CA 94124","$649,000","4,364 Square Feet",,"4,364 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Bayview,126 days,511,6
"1182 Palou Ave,","San Francisco, CA 94124","$1,029,000",7,5,"3,236","2,500 sqft",Single Family,$318,1900,Neighborhood: Hunters Point,302 days,679,14
"501 Hudson Ave #302,","San Francisco, CA 94124","$678,000",1,1,811,$425/mo,Condo,$836,2016,Neighborhood: Hunters Point,171 days,213,2
"1270 Shafter Ave,","San Francisco, CA 94124","$820,000",2,1,875,"2,495 sqft",Single Family,$937,1944,Neighborhood: Hunters Point,119 days,437,10
"555 Innes Ave #412,","San Francisco, CA 94124","$1,099,000",2,2,"1,379",$44/mo,Condo,$797,2016,Neighborhood: Hunters Point,315 days,294,6
"52 Innes Ct APT 306,","San Francisco, CA 94124","$849,000",2,2,"1,115",$592/mo,Condo,$761,2018,Neighborhood: Hunters Point,92 days,360,10
,"San Francisco, CA 94124","$660,000",2,2,790,$432/mo,Condo,$835,1993,Neighborhood: Silver Terrace,71 days,316,7
"50 Jerrold Ave #214,","San Francisco, CA 94124","$799,000",2,2,"1,015",$525/mo,Condo,$787,2016,Neighborhood: Hunters Point,137 days,557,21
